City_Name,D_Date,Temperature ,Precipitation ,Humidity,Wind_Speed,Daylight_hours
Austin,1/1/2022,46,2,89,-4,10
Austin,1/2/2022,63,2,89,33,10
Austin,1/3/2022,47,3,79,1,10
Austin,1/4/2022,49,3,68,-6,10
Austin,1/5/2022,41,2,51,37,10
Austin,1/6/2022,51,3,56,15,10
Austin,1/7/2022,52,0,48,25,10
Austin,1/8/2022,51,3,45,-17,10
Austin,1/9/2022,52,3,44,-22,10
Austin,1/10/2022,48,2,47,8,10
Austin,1/11/2022,52,0,58,-25,10
Austin,1/12/2022,49,0,55,6,10
Austin,1/13/2022,48,2,71,4,10
Austin,1/14/2022,47,1,81,6,10
Austin,1/15/2022,45,0,90,24,10
Austin,1/16/2022,49,0,92,19,10
Austin,1/17/2022,46,1,76,-24,10
Austin,1/18/2022,47,3,76,39,10
Austin,1/19/2022,53,0,62,38,10
Austin,1/20/2022,59,4,58,-6,10
Austin,1/21/2022,60,4,58,9,10
Austin,1/22/2022,58,0,57,10,10
Austin,1/23/2022,49,0,78,-5,10
Austin,1/24/2022,40,0,56,-24,10
Austin,1/25/2022,38,1,64,7,10
Austin,1/26/2022,43,0,43,8,10
Austin,1/27/2022,47,1,53,12,10
Austin,1/28/2022,45,0,51,24,10
Austin,1/29/2022,40,0,70,3,10
Austin,1/30/2022,49,0,76,24,10
Austin,1/31/2022,45,0,77,-25,10
Austin,2/1/2022,45,0,66,-20,10
Austin,2/2/2022,33,1,67,-27,10
Austin,2/3/2022,30,3,55,-11,10
Austin,2/4/2022,37,2,61,44,10
Austin,2/5/2022,46,0,45,22,10
Austin,2/6/2022,57,0,47,11,10
Austin,2/7/2022,49,3,51,10,10
Austin,2/8/2022,52,4,53,3,10
Austin,2/9/2022,54,1,60,28,10
Austin,2/10/2022,55,0,59,13,10
Austin,2/11/2022,52,3,72,26,10
Austin,2/12/2022,47,3,74,25,10
Austin,2/13/2022,46,2,65,6,10
Austin,2/14/2022,45,2,57,28,10
Austin,2/15/2022,42,3,66,-21,10
Austin,2/16/2022,48,0,62,-18,10
Austin,2/17/2022,44,4,71,13,10
Austin,2/18/2022,52,3,50,-5,10
Austin,2/19/2022,50,3,60,-12,10
Austin,2/20/2022,46,1,58,11,10
Austin,2/21/2022,42,3,63,-22,10
Austin,2/22/2022,40,3,63,37,10
Austin,2/23/2022,46,1,51,-16,10
Austin,2/24/2022,50,3,52,20,10
Austin,2/25/2022,50,3,47,20,10
Austin,2/26/2022,48,4,49,10,10
Austin,2/27/2022,46,0,61,-22,10
Austin,2/28/2022,47,1,64,-5,10
Austin,3/1/2022,56,0,76,-22,10
Austin,3/2/2022,59,0,75,-21,10
Austin,3/3/2022,69,4,70,30,10
Austin,3/4/2022,75,0,62,28,11
Austin,3/5/2022,79,0,64,-24,11
Austin,3/6/2022,78,2,64,-28,11
Austin,3/7/2022,71,2,70,24,11
Austin,3/8/2022,66,1,65,-2,11
Austin,3/9/2022,67,0,64,9,11
Austin,3/10/2022,65,2,56,31,11
Austin,3/11/2022,72,2,64,-15,11
Austin,3/12/2022,66,2,72,44,11
Austin,3/13/2022,72,4,77,-18,11
Austin,3/14/2022,67,0,58,23,11
Austin,3/15/2022,73,3,42,1,11
Austin,3/16/2022,71,3,37,45,11
Austin,3/17/2022,71,3,35,7,11
Austin,3/18/2022,69,4,35,6,11
Austin,3/19/2022,64,4,46,11,11
Austin,3/20/2022,68,1,68,-28,11
Austin,3/21/2022,72,0,77,-2,11
Austin,3/22/2022,72,1,69,-6,11
Austin,3/23/2022,67,2,68,36,11
Austin,3/24/2022,65,4,72,-9,11
Austin,3/25/2022,69,2,78,-16,11
Austin,3/26/2022,75,4,71,36,11
Austin,3/27/2022,76,1,60,15,11
Austin,3/28/2022,72,1,51,-13,11
Austin,3/29/2022,66,2,50,41,11
Austin,3/30/2022,59,4,51,13,11
Austin,3/31/2022,66,2,59,16,11
Austin,4/1/2022,69,0,50,2,11
Austin,4/2/2022,72,4,57,-29,11
Austin,4/3/2022,68,3,61,1,11
Austin,4/4/2022,62,0,76,29,11
Austin,4/5/2022,67,3,69,6,11
Austin,4/6/2022,70,3,51,44,11
Austin,4/7/2022,79,0,38,-11,11
Austin,4/8/2022,76,1,41,19,11
Austin,4/9/2022,70,0,60,18,11
Austin,4/10/2022,68,1,52,23,11
Austin,4/11/2022,71,2,57,8,11
Austin,4/12/2022,75,3,49,12,11
Austin,4/13/2022,70,4,62,1,11
Austin,4/14/2022,71,3,54,45,11
Austin,4/15/2022,70,2,59,1,11
Austin,4/16/2022,75,1,49,37,11
Austin,4/17/2022,75,2,51,42,12
Austin,4/18/2022,78,4,47,-13,12
Austin,4/19/2022,80,1,47,-14,12
Austin,4/20/2022,77,2,62,-26,12
Austin,4/21/2022,73,4,61,22,12
Austin,4/22/2022,73,3,70,0,12
Austin,4/23/2022,73,0,52,42,12
Austin,4/24/2022,75,2,45,13,12
